SMILES,LogKOC
COP(=S)(Oc1[n]c(Cl)c(Cl)cc1Cl)OC,3.52
CCNc1[n]c(Cl)[n]c(NC(C)(C)C)[n]1,2.32
Cc1cc(Cl)ccc1N=CN(C)C,2.91
CCCCC(COC(=O)c1ccc(cc1)C(=O)OCC(CCCC)CC)CC,4.16
Cc1cc(N)ccc1Br,2.26
CNC(=O)Oc1ccccc1C1OCCO1,1.6
Clc1cc(Cl)ccc1-c1ccc(Cl)cc1,4.63
c1c(OC)nc(Cl)cc1C(Cl)(Cl)Cl,3.48
Cc1ccc(cc1)NC(=O)N(C)C,1.51
COc1ccc(NC(=O)N(C)C)cc1,1.4
CSc1[n]c(NC(C)C)[n]c(NC(C)C)[n]1,2.85
C/C(=C\C(=O)OC(C)c1ccccc1)/OP(=O)(OC)OC,2.0
CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,5.0
CCOP(=S)(OCC)SCS(=O)C(C)(C)C,2.18
COC(=O)Nc1[nH]c2ccccc2[n]1,2.35
[Zn+2].[S-]C(=S)NCCNC([S-])=S,3.0
[Mn+2].[S-]C(=S)NCCNC([S-])=S,2.38
Clc1ccccc1-c1ccccc1Cl,3.92
CC(C)(C)SCSP(=S)(OCC)OCC,2.82
NC(=O)Nc1cc(ccc1)C(F)(F)F,1.98
O=C(Nc1ccccc1)NC1CCCC1,1.93
CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,0.85
CCOP(=O)(SCCC)SCCC,1.85
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,2.7
CCOC(=O)Nc1cccc(c1)OC(=O)Nc1ccccc1,3.18
Cc1cc(ccc1)NC(=O)Oc1cc(ccc1)NC(=O)OC,3.38
CC(Oc1cccc2ccccc21)C(=O)N(CC)CC,2.76
O=C(Nc1ccccc1)c1ccccc1I,2.82
Cc1ccc(cc1Cl)NC(=O)N(C)C,2.02
COCN(C(=O)CCl)c1c(CC)cccc1CC,2.28
OP(O)(=O)CCCl,0.0
CC(=NOC(=O)NC)SC,1.3
CNC(=O)N(C)c1[n]c2ccccc2[s]1,2.8
CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O,3.4
O=C(Nc1ccccc1)NC1CCCCCC1,2.37
COc1ccc(cc1Cl)NC(=O)N(C)C,1.72
CN1C(=O)N(OC1=O)c1cc(Cl)c(Cl)cc1,3.48
CNC(=O)Nc1ccc(OC)c(Cl)c1,1.84
CSC1=NN=C(C(=O)N1N)C(C)(C)C,1.71
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,4.5
CCNc1[n]c(Cl)[n]c(NC(C)(C)C#N)[n]1,2.28
Cc1cc(ccc1SC)OP(=O)(NC(C)C)OCC,2.51
CNC(=O)Oc1cccc2OC(C)(C)Oc21,2.75
Cc1[n]c([n]c(OC(=O)N(C)C)c1C)N(C)C,1.9
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,2.86
CCOP(=S)(OCC)Oc1cc(C)nc(n1)N(CC)CC,2.48
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,3.25
CC1CCCCN1C(=O)CSP(=S)(OCCC)OCCC,3.44
[Cl-].C[N+]1(C)CCCCC1,6.0
Cc1occc1C(=O)Nc1ccccc1,2.48
CC(C)(C#C)NC(=O)c1ccc(Cl)cc1,1.9
COc1ccc(cc1Cl)NC(N)=O,2.0
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,2.78
Cl.CCCOC(=O)NCCCN(C)C,2.49
CC(C)OP(=O)(OC(C)C)SCc1ccccc1,2.26
COc1[n]c(NCC)[n]c(NC(C)CC)[n]1,2.78
O=N(=O)c1c(c(cc(c1)C)N(=O)=O)N(CCCl)CCCl,3.94
CCCN(CC1CC1)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,4.01
CNC1C=NN(C(=O)C=1Cl)c1cc(ccc1)C(F)(F)F,3.28
Clc1c(Cl)c(Cl)c2COC(=O)c2c1Cl,3.3
C(C)(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,3.21
CCN(CC)C(=O)SCc1ccc(Cl)cc1,3.27
CCN(CC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,3.63
CCCN(CCC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,4.11
[O-][N+](=O)c1ccc(Br)c(Cl)c1,2.6
COP(=O)(NC(C)=O)SC,0.3
COc1[n]c(Cl)c(Cl)cc1Cl,2.96
O=S(=O)(c1ccc(cc1C)OP(=O)(NC(C)C)OCC)C,1.64
O=C(OCCOCCCC)CCCOc(c(cc(c1)Cl)Cl)c1,2.7
Clc1cc(-c2cc(Cl)c(Cl)cc2)c(Cl)cc1,4.86
CN(/C=N/c1ccc(C)cc1C)/C=N/c1ccc(C)cc1C,3.0
c1c(C)cccc1OC(=O)N,1.48
CC(C)(C#C)NC(=O)c1ccccc1,1.54
CCC(C)Nc1c(cc(cc1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,3.98
CC(C)c1cc(c(c(c1)[N+]([O-])=O)N(CCC)CCC)[N+]([O-])=O,4.0
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,6.08
Cc1cccc(CC)c1N(COCC)C(=O)CCl,2.32
Clc1ccc(cc1)-c1ccccc1Cl,4.34
Clc1cc(Cl)c(Cl)cc1-c1cc(Cl)c(Cl)cc1Cl,5.58
